SessionID,location_label,type_label,fund_label,class_label,time_label
397,405,1,2,5,2
398,101,1,1,1,2
399,101,1,1,1,2
400,102,1,1,5,1
401,101,1,1,2,2
402,102,2,1,4,1
404,104,1,1,1,2
405,103,2,1,8,1
406,103,1,1,4,2
407,200,1,2,1,2
408,101,1,1,1,2
412,402,4,1,4,2
413,200,1,2,1,2
414,104,1,2,3,2
415,103,1,2,1,2
416,104,1,2,8,1
417,104,1,1,1,2
418,200,1,2,1,2
419,102,4,2,8,2
423,104,1,2,2,2
425,101,1,1,5,2
427,104,2,1,1,2
428,103,1,2,1,2
429,103,1,1,1,2
431,104,1,2,1,2
432,200,1,2,1,2
433,103,1,1,1,2
436,200,1,2,1,2
438,103,1,2,5,2
439,104,1,2,1,2
440,103,1,2,1,2
441,104,1,2,1,2
442,103,1,2,1,2
443,200,1,2,1,1
444,103,2,1,1,2
446,103,1,2,1,2
449,200,1,2,1,2
450,200,1,2,1,2
451,101,1,2,1,2
452,104,2,1,1,2
453,103,1,2,4,1
456,200,1,2,1,2
457,104,1,2,8,1
458,103,1,1,1,2
459,102,1,2,3,2
460,103,2,1,3,2
463,104,1,2,4,2
465,104,1,1,1,2
466,103,2,1,1,1
467,101,1,1,1,2
468,102,1,2,1,2
471,104,1,1,8,2
472,402,4,1,4,2
473,104,1,2,1,2
474,200,1,2,8,2
476,200,1,2,1,2
477,102,1,2,2,2
478,104,1,2,8,1
479,103,1,2,2,2
481,102,1,2,1,2
482,102,1,1,5,1
483,102,1,1,5,1
484,102,1,2,1,1
485,102,1,2,1,2
486,104,1,2,1,1
487,102,1,2,1,2
489,104,1,1,1,2
490,103,2,1,2,1
492,104,1,2,1,2
493,104,2,1,1,2
494,102,1,2,1,2
495,102,1,2,3,1
499,502,1,2,4,2
500,103,1,1,2,2
503,200,1,2,1,2
504,102,1,1,5,2
505,104,2,1,2,2
506,103,1,2,1,2
507,102,1,2,1,2
508,200,1,2,1,2
509,200,1,2,1,2
511,501,1,2,2,2
513,200,1,2,1,2
514,101,2,1,1,2
516,200,1,2,1,2
517,104,1,1,1,2
518,200,1,2,1,2
520,200,1,2,1,1
521,101,1,1,4,2
522,103,1,2,1,2
523,200,1,2,1,2
524,103,1,2,1,1
527,104,3,2,8,2
528,104,1,1,1,2
529,104,1,1,8,1
530,103,1,2,1,2
532,101,1,1,1,2
533,103,1,2,8,1
535,103,1,2,1,2
536,104,2,1,2,2
537,103,1,1,2,2
539,103,1,1,1,2
541,104,1,2,8,2
542,200,1,2,1,2
543,104,1,2,2,2
544,104,4,1,1,2
545,101,1,1,1,2
546,502,1,2,4,2
548,200,1,2,1,2
550,104,1,1,1,2
558,103,1,2,5,2
560,104,1,2,2,2
562,103,1,2,1,2
565,200,1,2,1,2
566,104,1,2,1,2
567,104,1,2,1,2
569,200,1,2,1,2
570,103,2,1,2,1
571,103,2,2,1,2
572,103,1,2,1,2
575,103,1,2,4,2
577,200,1,2,1,2
578,103,1,2,1,2
580,104,1,2,5,2
581,102,1,2,1,2
582,103,1,1,1,2
583,200,1,2,1,2
584,101,2,1,2,2
585,200,1,2,1,2
586,101,1,1,1,2
587,102,1,2,1,2
588,101,1,1,1,2
589,102,1,2,1,2
590,103,1,1,1,2
591,103,1,2,8,2
592,200,1,2,1,2
594,103,1,1,5,2
596,200,1,2,1,1
597,103,1,2,1,2
598,101,1,1,2,2
600,104,1,2,2,2
601,104,1,1,1,2
603,104,4,1,1,2
608,200,1,2,1,2
609,104,1,1,3,2
611,200,1,2,1,2
612,502,1,2,4,2
613,103,1,1,1,2
615,200,1,2,1,2
616,501,1,2,5,2
617,200,1,2,1,2
621,104,1,2,1,2
626,104,1,2,4,2
628,104,1,1,1,2
630,104,1,2,2,2
632,104,1,2,5,2
633,200,1,2,1,2
634,103,2,1,2,2
636,103,1,2,1,2
637,200,1,2,1,2
639,200,1,2,1,2
641,104,1,2,1,2
642,103,1,2,1,1
643,103,1,2,5,1
644,103,2,1,2,2
645,200,1,2,1,2
646,103,1,2,1,2
648,101,1,1,8,2
650,102,1,2,8,2
652,103,2,1,2,2
654,101,1,1,1,2
656,405,4,1,8,2
660,104,1,2,1,2
661,102,1,1,2,1
663,104,1,2,1,1
665,103,1,1,1,2
666,200,1,2,1,2
669,501,1,2,2,2
671,104,1,1,8,1
674,102,1,2,1,2
677,104,2,1,1,2
679,405,1,2,6,1
682,200,1,2,1,2
684,402,4,1,4,2
686,103,2,1,2,2
688,104,1,1,8,2
690,502,1,2,4,2
691,102,1,2,1,1
692,103,2,1,2,2
693,104,1,2,1,2
695,103,1,1,1,2
696,103,1,1,1,2
697,501,1,2,2,1
698,103,1,2,1,2
699,104,1,2,2,2
700,103,1,2,2,2
701,103,2,1,1,2
702,102,1,2,1,2
704,200,1,2,1,2
706,200,1,2,1,2
707,102,1,2,3,2
708,102,1,2,1,1
709,104,1,2,1,2
710,103,1,2,1,1
711,104,2,1,1,2
712,200,1,2,1,2
714,200,1,2,1,2
715,104,1,2,2,1
716,103,2,1,3,2
717,102,1,1,5,2
718,102,1,2,1,2
719,200,1,2,1,2
721,200,1,2,1,2
722,103,1,2,1,2
723,200,1,2,1,2
724,104,1,2,1,1
725,101,1,1,1,2
726,103,1,2,1,2
728,101,2,1,1,2
729,103,1,2,8,2
730,104,1,2,1,2
731,101,2,1,4,2
732,102,1,1,5,1
733,104,1,1,1,2
734,104,1,2,8,2
737,103,1,1,1,2
738,103,1,2,5,2
740,103,1,2,5,1
741,101,1,1,1,2
744,103,2,1,5,2
745,102,1,2,1,2
746,200,1,2,1,1
748,501,1,2,5,2
749,101,1,1,2,2
752,103,1,1,1,2
754,103,3,2,3,2
758,101,1,1,1,2
760,101,1,2,1,2
764,103,1,2,5,1
765,103,1,2,5,2
766,103,1,2,4,2
767,200,1,2,1,2
769,102,2,1,4,2
771,103,2,1,1,1
772,102,1,2,1,2
774,200,1,2,1,2
776,405,1,2,1,2
777,103,1,1,1,2
778,104,1,2,2,2
779,104,1,2,8,2
780,502,1,2,4,2
781,102,1,2,1,2
782,103,1,2,1,2
783,200,1,2,5,2
788,104,4,1,1,2
791,200,1,2,1,2
792,104,1,1,1,1
793,405,1,2,4,1
795,200,1,2,1,1
796,104,2,1,2,2
797,104,1,1,8,1
798,104,1,2,1,2
799,103,1,2,2,2
800,101,1,1,1,2
801,104,1,2,2,2
